9.500000000000000000e+02 1.123188141882670361e-04
2.000000000000000000e+03 3.157833892403468247e-06
3.000000000000000000e+03 7.943249299460803954e-07
4.000000000000000000e+03 3.769704120266873403e-07
5.000000000000000000e+03 2.410170604975309002e-07
6.000000000000000000e+03 1.814811792458972080e-07
7.000000000000000000e+03 1.507906267093236376e-07
8.000000000000000000e+03 1.334424374822079772e-07
9.000000000000000000e+03 1.231841984183496819e-07
1.000000000000000000e+04 1.170931678920062926e-07
1.100000000000000000e+04 1.136480392152906244e-07
1.200000000000000000e+04 1.119894327451794223e-07
1.300000000000000000e+04 1.115995748184350469e-07
1.400000000000000000e+04 1.121496445345282154e-07
1.500000000000000000e+04 1.134223158058396829e-07
