0,06098    4,110e-7
0,06151    3,549e-7
0,06203    4,804e-7
0,06215    4,110e-7
0,06250    4,424e-7
0,06273    5,413e-7
0,06273    3,819e-7
0,06320    5,030e-7
0,06354    0,000001192
0,06355    4,424e-7
0,06389    0,000001128
0,06419    5,988e-7
0,06460    5,616e-7
0,06466    5,315e-7
0,06483    6,747e-7
0,06507    5,266e-7
0,06536    5,988e-7
0,06536    5,030e-7
0,06577    4,717e-7
0,06583    6,327e-7
0,06600    6,624e-7
0,06612    7,261e-7
0,06612    6,043e-7
0,06624    4,464e-7
0,06653    6,444e-7
0,06694    6,444e-7
0,06699    7,743e-7
0,06735    5,826e-7
0,06746    7,672e-7
0,06781    5,513e-7
