9.500000000000000000e+02 2.200811496590989521e-04
2.000000000000000000e+03 4.890909386307461103e-06
3.000000000000000000e+03 1.165151615531709272e-06
4.000000000000000000e+03 5.347732479094491008e-07
5.000000000000000000e+03 3.342945977449204890e-07
6.000000000000000000e+03 2.477117933872822885e-07
7.000000000000000000e+03 2.033840031467467120e-07
8.000000000000000000e+03 1.783519420866042576e-07
9.000000000000000000e+03 1.634651622359687350e-07
1.000000000000000000e+04 1.544905348165905902e-07
1.100000000000000000e+04 1.492415012015008237e-07
1.200000000000000000e+04 1.464905087191730062e-07
1.300000000000000000e+04 1.455026919853220014e-07
1.400000000000000000e+04 1.458133253241954792e-07
1.500000000000000000e+04 1.471156438048802805e-07
