0,03061    0,000001721
0,03199    0,000001476
0,03337    0,000001281
0,03433    0,000001179
0,03592    0,000001060
0,03743    9,879e-7
0,03888    9,535e-7
0,04012    9,423e-7
0,04233    9,879e-7
0,04419    0,000001099
0,04670    0,000001348
0,04813    0,000001563
0,04957    0,000001842
0,05114    0,000002336
0,05239    0,000002821
0,05382    0,000003550
0,05535    0,000004540
0,05717    0,000006304
0,05880    0,000008610
0,06004    0,00001101
0,06119    0,00001363
0,06267    0,00001831
0,06392    0,00002323
0,06555    0,00003252
0,06669    0,00004159
0,06851    0,00006066
0,07263    0,0001471
0,07559    0,0002790
0,07818    0,0004954
0,08047    0,0008105
0,08219    0,001182
0,08358    0,001641
