0,05660    0,000005298
0,05821    0,000004526
0,05867    0,000007551
0,05935    0,000006709
0,05958    0,000007701
0,06067    0,000008839
0,06113    0,00001098
0,06171    0,00001211
0,06297    0,00001188
0,06647    0,00002041
0,06670    0,00003026
0,06676    0,00003542
0,06711    0,00001886
0,06711    0,00004758
0,06745    0,00004187
0,06969    0,00004666
0,07043    0,0001110
0,07055    0,00008340
0,07210    0,00009859
0,07256    0,0001110
0,07313    0,0001419
0,07486    0,0002210
0,07554    0,0002587
0,07686    0,0003836
0,07819    0,0005521
0,07870    0,0003442
0,07899    0,0005686
0,08037    0,0008598
0,08077    0,0009582
