i i-1 T kVT
1 0 2000 6.32379e-20
1 0 3000 5.91303e-19
1 0 4000 2.29494e-18
1 0 5000 5.75378e-18
1 0 6000 1.12089e-17
1 0 7000 1.86152e-17
1 0 8000 2.77624e-17
1 0 9000 3.83724e-17
1 0 10000 5.01581e-17
1 0 11000 6.28535e-17
1 0 12000 7.62250e-17
1 0 13000 9.00748e-17
1 0 14000 1.04239e-16
1 0 15000 1.18582e-16
