i i-1 T kVT
1 0 950 6.41230e-22
1 0 2000 8.70756e-20
1 0 3000 7.52194e-19
1 0 4000 2.77039e-18
1 0 5000 6.69557e-18
1 0 6000 1.27064e-17
1 0 7000 2.07103e-17
1 0 8000 3.04807e-17
1 0 9000 4.17469e-17
1 0 10000 5.42438e-17
1 0 11000 6.77311e-17
1 0 12000 8.20001e-17
1 0 13000 9.68732e-17
1 0 14000 1.12201e-16
1 0 15000 1.27857e-16
