i i-1 T kVT
1 0 950 1.74148e-24
1 0 2000 1.41126e-21
1 0 3000 2.36718e-20
1 0 4000 1.39031e-19
1 0 5000 4.80659e-19
1 0 6000 1.21287e-18
1 0 7000 2.49225e-18
1 0 8000 4.44158e-18
1 0 9000 7.14042e-18
1 0 10000 1.06272e-17
1 0 11000 1.49066e-17
1 0 12000 1.99587e-17
1 0 13000 2.57467e-17
1 0 14000 3.22235e-17
1 0 15000 3.93367e-17
