i i-1 T kVT
1 0 950 1.29381e-22
1 0 2000 2.44919e-20
1 0 3000 2.46748e-19
1 0 4000 1.03175e-18
1 0 5000 2.77334e-18
1 0 6000 5.74940e-18
1 0 7000 1.00822e-17
1 0 8000 1.57643e-17
1 0 9000 2.27035e-17
1 0 10000 3.07617e-17
1 0 11000 3.97833e-17
1 0 12000 4.96122e-17
1 0 13000 6.01021e-17
1 0 14000 7.11208e-17
1 0 15000 8.25516e-17
