i i-1 T kVT
1 0 950 1.01202e-24
1 0 2000 1.02244e-21
1 0 3000 1.81872e-20
1 0 4000 1.11012e-19
1 0 5000 3.94781e-19
1 0 6000 1.01822e-18
1 0 7000 2.12928e-18
1 0 8000 3.84961e-18
1 0 9000 6.26324e-18
1 0 10000 9.41634e-18
1 0 11000 1.33228e-17
1 0 12000 1.79718e-17
1 0 13000 2.33351e-17
1 0 14000 2.93729e-17
1 0 15000 3.60391e-17
