i i-1 T kVT
1 0 950 4.52727e-22
1 0 2000 6.76414e-20
1 0 3000 6.24076e-19
1 0 4000 2.37559e-18
1 0 5000 5.87461e-18
1 0 6000 1.13376e-17
1 0 7000 1.87182e-17
1 0 8000 2.78283e-17
1 0 9000 3.84259e-17
1 0 10000 5.02643e-17
1 0 11000 6.31150e-17
1 0 12000 7.67761e-17
1 0 13000 9.10731e-17
1 0 14000 1.05858e-16
1 0 15000 1.21005e-16
