i i-1 T kVT
1 0 950 8.42089e-24
1 0 2000 2.64581e-21
1 0 3000 3.81201e-20
1 0 4000 2.02116e-19
1 0 5000 6.52223e-19
1 0 6000 1.56730e-18
1 0 7000 3.10633e-18
1 0 8000 5.38475e-18
1 0 9000 8.46833e-18
1 0 10000 1.23780e-17
1 0 11000 1.70996e-17
1 0 12000 2.25937e-17
1 0 13000 2.88049e-17
1 0 14000 3.56688e-17
1 0 15000 4.31175e-17
