i i-1 T kVT
1 0 950 6.47269e-22
1 0 2000 8.20387e-20
1 0 3000 6.60264e-19
1 0 4000 2.35060e-18
1 0 5000 5.57762e-18
1 0 6000 1.04635e-17
1 0 7000 1.69096e-17
1 0 8000 2.47051e-17
1 0 9000 3.36042e-17
1 0 10000 4.33676e-17
1 0 11000 5.37820e-17
1 0 12000 6.46662e-17
1 0 13000 7.58702e-17
1 0 14000 8.72726e-17
1 0 15000 9.87764e-17
