i i-1 T kVT
1 0 950 4.92054e-23
1 0 2000 1.27026e-20
1 0 3000 1.52503e-19
1 0 4000 7.07399e-19
1 0 5000 2.03412e-18
1 0 6000 4.41959e-18
1 0 7000 8.02357e-18
1 0 8000 1.28885e-17
1 0 9000 1.89739e-17
1 0 10000 2.61904e-17
1 0 11000 3.44248e-17
1 0 12000 4.35566e-17
1 0 13000 5.34675e-17
1 0 14000 6.40462e-17
1 0 15000 7.51911e-17
